"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"16","Leopardus pardalis","4",9.5502,-83.791,TRUE
"18","Leopardus pardalis","4",9.5502,-83.791,TRUE
"19","Leopardus pardalis","4",9.5502,-83.791,TRUE
"39","Leopardus pardalis","4",9.5502,-83.791,TRUE
"45","Leopardus pardalis","4",9.5502,-83.791,TRUE
"49","Leopardus pardalis","4",9.5502,-83.791,TRUE
"59","Leopardus pardalis","4",9.5502,-83.791,TRUE
"71","Leopardus pardalis","4",9.5502,-83.791,TRUE
"85","Leopardus pardalis","4",9.5502,-83.791,TRUE
"89","Leopardus pardalis","4",9.5502,-83.791,TRUE
"97","Leopardus pardalis","4",9.5502,-83.791,TRUE
"113","Leopardus pardalis","4",9.5502,-83.791,TRUE
"128","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"138","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"140","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"177","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"255","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"261","Leopardus pardalis","4",9.5501,-83.7908,TRUE
"626","Leopardus pardalis","4",9.5502,-83.791,TRUE
"649","Leopardus pardalis","4",9.5502,-83.791,TRUE
"651","Leopardus pardalis","4",9.5502,-83.791,TRUE
"653","Leopardus pardalis","4",9.5502,-83.791,TRUE
"665","Leopardus pardalis","4",9.5502,-83.791,TRUE
"2494","Leopardus pardalis","10",9.5514,-83.7927,TRUE
"2503","Leopardus pardalis","10",9.5514,-83.7927,TRUE
"2511","Leopardus pardalis","10",9.5514,-83.7927,TRUE
"2935","Leopardus pardalis",NA,9.5633,-83.7839,TRUE
"2936","Leopardus pardalis",NA,9.5633,-83.7839,TRUE
"3657","Leopardus pardalis","18",9.5514,-83.7927,TRUE
"3666","Leopardus pardalis","18",9.5514,-83.7927,TRUE
"3960","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4011","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4038","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4056","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4059","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4061","Leopardus pardalis","19",9.5413,-83.7977,TRUE
"4148","Leopardus pardalis","Torres19",9.552,-83.782,TRUE
"4151","Leopardus pardalis","Torres19",9.552,-83.782,TRUE
"4268","Leopardus pardalis","19",9.5412,-83.7977,TRUE
"4269","Leopardus pardalis","19",9.5412,-83.7977,TRUE
"4299","Leopardus pardalis","Man2",9.5512,-83.791,TRUE
"4302","Leopardus pardalis","Man2",9.5512,-83.791,TRUE
"6591","Leopardus pardalis","Man2",9.5512,-83.791,TRUE
"6596","Leopardus pardalis","Man2",9.5512,-83.791,TRUE
"14733","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14735","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14743","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14745","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14749","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14759","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14762","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14763","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14767","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14772","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14775","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14778","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14785","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14786","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14789","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14790","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14803","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14804","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14805","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14806","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14813","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14821","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14824","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14846","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14857","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14867","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14872","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14875","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14882","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14884","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14887","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"14890","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
